group,category,label
location,Taipei,台北
location,Taichung,台中
location,Tainan,台南
price,0-300,0-300
price,300-500,300-500
price,500-800,500-800
price,800-1000,800-1000
price,1000-1200,1000-1200
price,1200+,1200以上
age,elementary,國小（12歲以下）
age,junior,國中（13-15歲）
age,senior,高中（16-18歲）
age,adult,大學（18歲以上）
duration,30min,30分
duration,1hr,1小時
duration,1.5hr,1.5小時
duration,2hr,2小時
duration,2.5hr,2.5小時
duration,3hr,3小時
duration,3.5hr,3.5小時
duration,4hr,4小時
tour_type,scheduled,定時導覽
tour_type,group,團體導覽
environment,indoor,室內
environment,outdoor,戶外
theme,History,歷史
theme,Civics,公民
theme,Literature,文學
theme,Food,飲食
theme,Business,商業
theme,Architecture,建築
theme,Ecology,生態
theme,Religion,信仰
